"","event_name","creation_date","duration","rsvp","venue_name","venue_rating","rating_count","venue.city","address_1","lat","long","group_name","group_rating","category_name"
"2214","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2215","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2216","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2217","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2218","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2219","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2220","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2221","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2222","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2223","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2224","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2225","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2226","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2227","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2228","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2229","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2230","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2231","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2232","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2233","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2234","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2235","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2236","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2237","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2238","Sunday Writing in the Open",2017-09-30,3,1,"Hayes Valley Art Works",0,0,"San Francisco","275 Oak Street",37.774677,-122.423752,"Art in the Garden at Hayes Valley Art Works","0.00","Arts & Culture"
"2239","FREE EVENT: Walk 1hour at Hudson River Park, Meet New Friends from 10 Groups",2016-11-03,2,1,"AMC Loews 34th Street 14 (Meet In Front Of Movie Theater)",4.25,4,"New York City","312 W 34th St, New York, NY 10001",40.752491,-73.994858,"The Asian-American Entrepreneurs Network","4.66","Career & Business"
"2240","FREE EVENT: Walk 1hour at Hudson River Park, Meet New Friends from 10 Groups",2016-11-03,2,1,"AMC Loews 34th Street 14 (Meet In Front Of Movie Theater)",4.25,4,"New York City","312 W 34th St, New York, NY 10001",40.752491,-73.994858,"The Asian-American Entrepreneurs Network","4.66","Career & Business"
"2241","FREE EVENT: Walk 1hour at Hudson River Park, Meet New Friends from 10 Groups",2016-11-03,2,1,"AMC Loews 34th Street 14 (Meet In Front Of Movie Theater)",4.25,4,"New York City","312 W 34th St, New York, NY 10001",40.752491,-73.994858,"The Asian-American Entrepreneurs Network","4.66","Career & Business"
"2242","FREE EVENT: Walk 1hour at Hudson River Park, Meet New Friends from 10 Groups",2016-11-03,2,1,"AMC Loews 34th Street 14 (Meet In Front Of Movie Theater)",4.25,4,"New York City","312 W 34th St, New York, NY 10001",40.752491,-73.994858,"The Asian-American Entrepreneurs Network","4.66","Career & Business"
"2243","FREE EVENT: Walk 1hour at Hudson River Park, Meet New Friends from 10 Groups",2016-11-03,2,1,"AMC Loews 34th Street 14 (Meet In Front Of Movie Theater)",4.25,4,"New York City","312 W 34th St, New York, NY 10001",40.752491,-73.994858,"The Asian-American Entrepreneurs Network","4.66","Career & Business"
"2244","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,8,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2245","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,2,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2246","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2247","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2248","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2249","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2250","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2251","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2252","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2253","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2254","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2255","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2256","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2257","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2258","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2259","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2260","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2261","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2262","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2263","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2264","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2265","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2266","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2267","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2268","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2269","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2270","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2271","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2272","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2273","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2274","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2275","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2276","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2277","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2278","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2279","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2280","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2281","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2282","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2283","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2284","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2285","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2286","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2287","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2288","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2289","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2290","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2291","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2292","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2293","Yoga For a Cause - Outdoor Yoga Flow",2017-08-29,3,1,"100 John F Kennedy Dr",0,0,"San Francisco","100 John F Kennedy Drive",37.77261,-122.460236,"SF Free School","4.60","Career & Business"
"2294","First Fridays - Free Coworking",2017-09-18,8,7,"Free Range Office",5,2,"Chicago","2141 W. North Ave., 2nd Flr",41.910385,-87.681648,"Free Range Coworking + Meetups","5.00","Career & Business"
"2295","First Fridays - Free Coworking",2017-09-18,8,4,"Free Range Office",5,2,"Chicago","2141 W. North Ave., 2nd Flr",41.910385,-87.681648,"Free Range Coworking + Meetups","5.00","Career & Business"
"2296","First Fridays - Free Coworking",2017-09-18,8,4,"Free Range Office",5,2,"Chicago","2141 W. North Ave., 2nd Flr",41.910385,-87.681648,"Free Range Coworking + Meetups","5.00","Career & Business"
"2297","First Fridays - Free Coworking",2017-09-18,8,3,"Free Range Office",5,2,"Chicago","2141 W. North Ave., 2nd Flr",41.910385,-87.681648,"Free Range Coworking + Meetups","5.00","Career & Business"
"2298","First Fridays - Free Coworking",2017-09-18,8,3,"Free Range Office",5,2,"Chicago","2141 W. North Ave., 2nd Flr",41.910385,-87.681648,"Free Range Coworking + Meetups","5.00","Career & Business"
"2299","First Fridays - Free Coworking",2017-09-18,8,3,"Free Range Office",5,2,"Chicago","2141 W. North Ave., 2nd Flr",41.910385,-87.681648,"Free Range Coworking + Meetups","5.00","Career & Business"
"2300","First Fridays - Free Coworking",2017-09-18,8,3,"Free Range Office",5,2,"Chicago","2141 W. North Ave., 2nd Flr",41.910385,-87.681648,"Free Range Coworking + Meetups","5.00","Career & Business"
"2301","First Fridays - Free Coworking",2017-09-18,8,3,"Free Range Office",5,2,"Chicago","2141 W. North Ave., 2nd Flr",41.910385,-87.681648,"Free Range Coworking + Meetups","5.00","Career & Business"
"2302","First Fridays - Free Coworking",2017-09-18,8,3,"Free Range Office",5,2,"Chicago","2141 W. North Ave., 2nd Flr",41.910385,-87.681648,"Free Range Coworking + Meetups","5.00","Career & Business"
"2303","First Fridays - Free Coworking",2017-09-18,8,3,"Free Range Office",5,2,"Chicago","2141 W. North Ave., 2nd Flr",41.910385,-87.681648,"Free Range Coworking + Meetups","5.00","Career & Business"
"2304","First Fridays - Free Coworking",2017-09-18,8,3,"Free Range Office",5,2,"Chicago","2141 W. North Ave., 2nd Flr",41.910385,-87.681648,"Free Range Coworking + Meetups","5.00","Career & Business"
"2305","First Fridays - Free Coworking",2017-09-18,8,3,"Free Range Office",5,2,"Chicago","2141 W. North Ave., 2nd Flr",41.910385,-87.681648,"Free Range Coworking + Meetups","5.00","Career & Business"
"2306","MIRUS ART  COLLECTORS SERIES",2017-09-20,3,13,"Mirus Gallery",0,0,"San Francisco","not_found",37.787956,-122.397247,"Startups Showcase","4.75","Career & Business"
"2307","MIRUS ART  COLLECTORS SERIES",2017-09-20,3,13,"Mirus Gallery",0,0,"San Francisco","not_found",37.787956,-122.397247,"Startups Showcase","4.75","Career & Business"
"2308","MIRUS ART  COLLECTORS SERIES",2017-09-20,3,13,"Mirus Gallery",0,0,"San Francisco","not_found",37.787956,-122.397247,"Startups Showcase","4.75","Career & Business"
"2309","MIRUS ART  COLLECTORS SERIES",2017-09-20,3,13,"Mirus Gallery",0,0,"San Francisco","not_found",37.787956,-122.397247,"Startups Showcase","4.75","Career & Business"
"2310","MIRUS ART  COLLECTORS SERIES",2017-09-20,3,13,"Mirus Gallery",0,0,"San Francisco","not_found",37.787956,-122.397247,"Startups Showcase","4.75","Career & Business"
"2311","MIRUS ART  COLLECTORS SERIES",2017-09-20,3,13,"Mirus Gallery",0,0,"San Francisco","not_found",37.787956,-122.397247,"Startups Showcase","4.75","Career & Business"
"2312","MIRUS ART  COLLECTORS SERIES",2017-09-20,3,13,"Mirus Gallery",0,0,"San Francisco","not_found",37.787956,-122.397247,"Startups Showcase","4.75","Career & Business"
"2313","MIRUS ART  COLLECTORS SERIES",2017-09-20,3,13,"Mirus Gallery",0,0,"San Francisco","not_found",37.787956,-122.397247,"Startups Showcase","4.75","Career & Business"
"2314","MIRUS ART  COLLECTORS SERIES",2017-09-20,3,13,"Mirus Gallery",0,0,"San Francisco","not_found",37.787956,-122.397247,"Startups Showcase","4.75","Career & Business"
"2315","MIRUS ART  COLLECTORS SERIES",2017-09-20,3,13,"Mirus Gallery",0,0,"San Francisco","not_found",37.787956,-122.397247,"Startups Showcase","4.75","Career & Business"
"2316","MIRUS ART  COLLECTORS SERIES",2017-09-20,3,13,"Mirus Gallery",0,0,"San Francisco","not_found",37.787956,-122.397247,"Startups Showcase","4.75","Career & Business"
"2317","MIRUS ART  COLLECTORS SERIES",2017-09-20,3,13,"Mirus Gallery",0,0,"San Francisco","not_found",37.787956,-122.397247,"Startups Showcase","4.75","Career & Business"
"2318","Exclusive Referral Group Meeting",2015-11-25,2,1,"Koleksiyon Furniture Showroom",0,0,"New York City","228 East 58th Street (Btw 2nd & 3rd ave.)",40.651234,-74.010643,"Business Events NY","4.57","Career & Business"
"2319","Exclusive Referral Group Meeting",2015-11-25,2,1,"Koleksiyon Furniture Showroom",0,0,"New York City","228 East 58th Street (Btw 2nd & 3rd ave.)",40.651234,-74.010643,"Business Events NY","4.57","Career & Business"
"2320","Exclusive Referral Group Meeting",2015-11-25,2,1,"Koleksiyon Furniture Showroom",0,0,"New York City","228 East 58th Street (Btw 2nd & 3rd ave.)",40.651234,-74.010643,"Business Events NY","4.57","Career & Business"
"2321","Exclusive Referral Group Meeting",2015-11-25,2,1,"Koleksiyon Furniture Showroom",0,0,"New York City","228 East 58th Street (Btw 2nd & 3rd ave.)",40.651234,-74.010643,"Business Events NY","4.57","Career & Business"
"2322","Exclusive Referral Group Meeting",2015-11-25,2,1,"Koleksiyon Furniture Showroom",0,0,"New York City","228 East 58th Street (Btw 2nd & 3rd ave.)",40.651234,-74.010643,"Business Events NY","4.57","Career & Business"
"2323","Exclusive Referral Group Meeting",2015-11-25,2,1,"Koleksiyon Furniture Showroom",0,0,"New York City","228 East 58th Street (Btw 2nd & 3rd ave.)",40.651234,-74.010643,"Business Events NY","4.57","Career & Business"
"2324","Exclusive Referral Group Meeting",2015-11-25,2,1,"Koleksiyon Furniture Showroom",0,0,"New York City","228 East 58th Street (Btw 2nd & 3rd ave.)",40.651234,-74.010643,"Business Events NY","4.57","Career & Business"
"2325","Exclusive Referral Group Meeting",2015-11-25,2,1,"Koleksiyon Furniture Showroom",0,0,"New York City","228 East 58th Street (Btw 2nd & 3rd ave.)",40.651234,-74.010643,"Business Events NY","4.57","Career & Business"
"2326","Exclusive Referral Group Meeting",2015-11-25,2,1,"Koleksiyon Furniture Showroom",0,0,"New York City","228 East 58th Street (Btw 2nd & 3rd ave.)",40.651234,-74.010643,"Business Events NY","4.57","Career & Business"
"2327","Exclusive Referral Group Meeting",2015-11-25,2,1,"Koleksiyon Furniture Showroom",0,0,"New York City","228 East 58th Street (Btw 2nd & 3rd ave.)",40.651234,-74.010643,"Business Events NY","4.57","Career & Business"
"2328","Exclusive Referral Group Meeting",2015-11-25,2,1,"Koleksiyon Furniture Showroom",0,0,"New York City","228 East 58th Street (Btw 2nd & 3rd ave.)",40.651234,-74.010643,"Business Events NY","4.57","Career & Business"
"2329","Exclusive Referral Group Meeting",2015-11-25,2,1,"Koleksiyon Furniture Showroom",0,0,"New York City","228 East 58th Street (Btw 2nd & 3rd ave.)",40.651234,-74.010643,"Business Events NY","4.57","Career & Business"
"2330","Accenture Rising Voices Toastmasters",2015-10-13,1,1,"Accenture",0,0,"Chicago","161 North Clark Street",41.884777,-87.630608,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"2331","Accenture Rising Voices Toastmasters",2015-10-13,1,1,"Accenture",0,0,"Chicago","161 North Clark Street",41.884777,-87.630608,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"2332","Accenture Rising Voices Toastmasters",2015-10-13,1,1,"Accenture",0,0,"Chicago","161 North Clark Street",41.884777,-87.630608,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"2333","Accenture Rising Voices Toastmasters",2015-10-13,1,1,"Accenture",0,0,"Chicago","161 North Clark Street",41.884777,-87.630608,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"2334","Accenture Rising Voices Toastmasters",2015-10-13,1,1,"Accenture",0,0,"Chicago","161 North Clark Street",41.884777,-87.630608,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"2335","Accenture Rising Voices Toastmasters",2015-10-13,1,1,"Accenture",0,0,"Chicago","161 North Clark Street",41.884777,-87.630608,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"2336","Accenture Rising Voices Toastmasters",2015-10-13,1,1,"Accenture",0,0,"Chicago","161 North Clark Street",41.884777,-87.630608,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"2337","Accenture Rising Voices Toastmasters",2015-10-13,1,1,"Accenture",0,0,"Chicago","161 North Clark Street",41.884777,-87.630608,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"2338","Accenture Rising Voices Toastmasters",2015-10-13,1,1,"Accenture",0,0,"Chicago","161 North Clark Street",41.884777,-87.630608,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"2339","Accenture Rising Voices Toastmasters",2015-10-13,1,1,"Accenture",0,0,"Chicago","161 North Clark Street",41.884777,-87.630608,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"2340","Accenture Rising Voices Toastmasters",2015-10-13,1,1,"Accenture",0,0,"Chicago","161 North Clark Street",41.884777,-87.630608,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"2341","Accenture Rising Voices Toastmasters",2015-10-13,1,1,"Accenture",0,0,"Chicago","161 North Clark Street",41.884777,-87.630608,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"2342","Accenture Rising Voices Toastmasters",2015-10-13,1,1,"Accenture",0,0,"Chicago","161 North Clark Street",41.884777,-87.630608,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"2343","Accenture Rising Voices Toastmasters",2015-10-13,1,1,"Accenture",0,0,"Chicago","161 North Clark Street",41.884777,-87.630608,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"2344","Accenture Rising Voices Toastmasters",2015-10-13,1,1,"Accenture",0,0,"Chicago","161 North Clark Street",41.884777,-87.630608,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"2345","Accenture Rising Voices Toastmasters",2015-10-13,1,1,"Accenture",0,0,"Chicago","161 North Clark Street",41.884777,-87.630608,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
"2346","Accenture Rising Voices Toastmasters",2015-10-13,1,1,"Accenture",0,0,"Chicago","161 North Clark Street",41.884777,-87.630608,"Chicago Area District 30 Toastmasters","5.00","Career & Business"
